article_ref,titre,contenu,url,source,date_collecte,type,processed_at
R4222-1,R4222-1,"R4222-1Source :Code du travail- Mis à jour le :01/05/2008Dans les locaux fermés où les travailleurs sont appelés à séjourner, l'air est renouvelé de façon à :1° Maintenir un état de pureté de l'atmosphère propre à préserver la santé des travailleurs ;2° Eviter les élévations exagérées de température, les odeurs désagréables et les condensations.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Travail dans le froid : ressourcesSanté et sécurité : conception et aménagement des lieux de travailChaleur et canicule au travail : un cadre règlementaire renforcéSanté et sécurité : utilisation et aménagement des lieux de travailPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-1,CDTN (Scraping Web),2026-01-20 16:45:33.009350,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-2,R4222-2,"R4222-2Source :Code du travail- Mis à jour le :01/05/2008Les règles applicables à l'aération, à la ventilation et à l'assainissement des locaux sont fixées suivant la nature et les caractéristiques de ces locaux.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés à la peinture par pulvérisation : sources réglementairesLes risques liés aux peintures à l'eau : sources réglementairesLes risques professionnels liés au monoxyde de carbone : sources réglementairesLes congés pour événements familiaux et le congé de deuilPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-2,CDTN (Scraping Web),2026-01-20 16:45:35.911173,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-3,R4222-3,"R4222-3Source :Code du travail- Mis à jour le :01/05/2008Pour l'application du présent chapitre, on entend par :1° Air neuf, l'air pris à l'air libre hors des sources de pollution ;2° Air recyclé, l'air pris et réintroduit dans un local ou un groupe de locaux. L'air pris hors des points de captage de polluants et réintroduit dans le même local après conditionnement thermique n'est pas considéré comme de l'air recyclé ;3° Locaux à pollution non spécifique, les locaux dans lesquels la pollution est liée à la seule présence humaine, à l'exception des locaux sanitaires ;4° Locaux à pollution spécifique, les locaux dans lesquels des substances dangereuses ou gênantes sont émises sous forme de gaz, vapeurs, aérosols solides ou liquides autres que celles qui sont liées à la seule présence humaine ainsi que locaux pouvant contenir des sources de micro-organismes potentiellement pathogènes et locaux sanitaires ;5° Ventilation mécanique, la ventilation assurée par une installation mécanique ;6°",https://code.travail.gouv.fr/code-du-travail/r4222-3,CDTN (Scraping Web),2026-01-20 16:45:37.338315,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-4,R4222-4,"R4222-4Source :Code du travail- Mis à jour le :01/05/2008Dans les locaux à pollution non spécifique, l'aération est assurée soit par ventilation mécanique, soit par ventilation naturelle permanente.Dans ce dernier cas, les locaux comportent des ouvrants donnant directement sur l'extérieur et leurs dispositifs de commande sont accessibles aux occupants.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques professionnels liés au monoxyde de carbone : les moyens de préventionSanté et sécurité : conception et aménagement des lieux de travailLa prévention des risques dans les espaces confinés : les moyens de préventionSalariés détachés : l'hébergementPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-4,CDTN (Scraping Web),2026-01-20 16:45:38.731512,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-5,R4222-5,"R4222-5Source :Code du travail- Mis à jour le :01/05/2008L'aération par ventilation naturelle, assurée exclusivement par ouverture de fenêtres ou autres ouvrants donnant directement sur l'extérieur, est autorisée lorsque le volume par occupant est égal ou supérieur à :1° 15 mètres cubes pour les bureaux et les locaux où est accompli un travail physique léger ;2° 24 mètres cubes pour les autres locaux.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Cadre général du détachement des salariés : les conditions d'hébergement des salariésSalariés détachés : l'hébergementUne salariée peut-elle allaiter pendant les heures de travail ?Santé et sécurité : conception et aménagement des lieux de travailPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-5,CDTN (Scraping Web),2026-01-20 16:45:40.147467,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-6,R4222-6,"R4222-6Source :Code du travail- Mis à jour le :01/05/2008Lorsque l'aération est assurée par ventilation mécanique, le débit minimal d'air neuf à introduire par occupant est fixé dans le tableau suivant :DESIGNATION DES LOCAUXDEBIT MINIMALd'air neuf par occupant(en mètres cubes par heures)Bureaux, locaux sans travail physique25Locaux de restauration, locaux de vente, locaux de réunion30Ateliers et locaux avec travail physique léger45Autres ateliers et locaux60Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Santé et sécurité : conception et aménagement des lieux de travailPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-6,CDTN (Scraping Web),2026-01-20 16:45:41.550852,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-10,R4222-10,"R4222-10Source :Code du travail- Mis à jour le :01/07/2023Dans les locaux à pollution spécifique, les concentrations moyennes en poussières totales et alvéolaires de l'atmosphère inhalée par un travailleur, évaluées sur une période de huit heures, ne doivent pas dépasser respectivement 4 et 0,9 milligrammes par mètre cube d'air.NOTAConformément au A du IV de l’article 4 du décret n° 2021-1763 du 23 décembre 2021, ces dispositions entrent en vigueur le 1erjuillet 2023.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques liés aux poussières : sources réglementairesSanté et sécurité : conception et aménagement des lieux de travailPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-10,CDTN (Scraping Web),2026-01-20 16:45:42.990747,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-11,R4222-11,"R4222-11Source :Code du travail- Mis à jour le :01/05/2008Pour chaque local à pollution spécifique, la ventilation est réalisée et son débit déterminé en fonction de la nature et de la quantité des polluants ainsi que, le cas échéant, de la quantité de chaleur à évacuer, sans que le débit minimal d'air neuf puisse être inférieur aux valeurs fixées à l'articleR. 4222-6.Lorsque l'air provient de locaux à pollution non spécifique, il est tenu compte du nombre total d'occupants des locaux desservis pour déterminer le débit minimal d'entrée d'air neuf.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La ventilation : comment capter les polluants ?Les risques liés aux soudures et fumées de soudage : sources réglementairesMéthodes et stratégie de prélèvements atmosphériques individuels : stratégie de prélèvements atmosphériques individuels : comment procéder ?Santé et sécurité : conception et aménagement des lieux de travailPartager la pageFacebookX (anciennement Twitter)Linke",https://code.travail.gouv.fr/code-du-travail/r4222-11,CDTN (Scraping Web),2026-01-20 16:45:46.063615,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-12,R4222-12,"R4222-12Source :Code du travail- Mis à jour le :01/05/2008Les émissions sous forme de gaz, vapeurs, aérosols de particules solides ou liquides, de substances insalubres, gênantes ou dangereuses pour la santé des travailleurs sont supprimées, y compris, par la mise en œuvre de procédés d'humidification en cas de risque de suspension de particules, lorsque les techniques de production le permettent.A défaut, elles sont captées au fur et à mesure de leur production, au plus près de leur source d'émission et aussi efficacement que possible, notamment en tenant compte de la nature, des caractéristiques et du débit des polluants ainsi que des mouvements de l'air.S'il n'est techniquement pas possible de capter à leur source la totalité des polluants, les polluants résiduels sont évacués par la ventilation générale du local.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés aux soudures et fumées de soudage : sources réglementairesLes filtres de protection respi",https://code.travail.gouv.fr/code-du-travail/r4222-12,CDTN (Scraping Web),2026-01-20 16:45:48.867747,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-13,R4222-13,"R4222-13Source :Code du travail- Mis à jour le :01/01/2022Les installations de captage et de ventilation sont réalisées de telle sorte que les concentrations dans l'atmosphère ne soient dangereuses en aucun point pour la santé et la sécurité des travailleurs et qu'elles restent inférieures aux valeurs limites d'exposition fixées à l'articleR. 4412-149.Lorsque les limites des concentrations mentionnées à l'articleR. 4222-10ne peuvent être respectées en tout point d'un local à pollution spécifique, l'employeur met en œuvre les mesures organisationnelles nécessaires pour que l'exposition des travailleurs ne dépasse pas en moyenne ces limites sur une période de huit heures.Les dispositifs d'entrée d'air compensant les volumes extraits sont conçus et disposés de façon à ne pas réduire l'efficacité des systèmes de captage.Un dispositif d'avertissement automatique signale toute défaillance des installations de captage qui n'est pas directement décelable par les occupants des locaux.NOTAConfor",https://code.travail.gouv.fr/code-du-travail/r4222-13,CDTN (Scraping Web),2026-01-20 16:45:51.765971,REGLEMENTATION,2026-01-20 16:49:58.610427
