article_ref,titre,contenu,url,source,date_collecte
R4222-1,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-1,CDTN (Scraping Web),2026-01-21 17:30:44.513198
R4222-2,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-2,CDTN (Scraping Web),2026-01-21 17:30:44.515563
R4222-3,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-3,CDTN (Scraping Web),2026-01-21 17:30:44.516781
R4222-4,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-4,CDTN (Scraping Web),2026-01-21 17:30:44.517322
R4222-5,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-5,CDTN (Scraping Web),2026-01-21 17:30:44.518850
R4222-6,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-6,CDTN (Scraping Web),2026-01-21 17:30:44.520556
R4222-10,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-10,CDTN (Scraping Web),2026-01-21 17:30:44.522606
R4222-11,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-11,CDTN (Scraping Web),2026-01-21 17:30:44.523911
R4222-12,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-12,CDTN (Scraping Web),2026-01-21 17:30:44.524824
R4222-13,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-13,CDTN (Scraping Web),2026-01-21 17:30:44.525999
R4222-14,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-14,CDTN (Scraping Web),2026-01-21 17:30:44.527190
R4222-15,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-15,CDTN (Scraping Web),2026-01-21 17:30:44.528633
R4222-16,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-16,CDTN (Scraping Web),2026-01-21 17:30:44.529867
R4222-17,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-17,CDTN (Scraping Web),2026-01-21 17:30:44.530984
R4222-18,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-18,CDTN (Scraping Web),2026-01-21 17:30:44.532153
R4222-19,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-19,CDTN (Scraping Web),2026-01-21 17:30:44.533325
R4222-20,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-20,CDTN (Scraping Web),2026-01-21 17:30:44.534604
R4222-21,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-21,CDTN (Scraping Web),2026-01-21 17:30:44.535874
R4222-22,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-22,CDTN (Scraping Web),2026-01-21 17:30:44.536595
R4222-23,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-23,CDTN (Scraping Web),2026-01-21 17:30:44.537927
